기능,기능 설명 요약,도메인,선택,연관화면,우선순위
COMMON-01 안내 모달,"서비스 이용 중 필요한 안내를 모달 또는 토스트로 표시하는 공통 기능이다. 위치 권한, 로그인 유도, 처리 성공/실패, 댓글 비밀번호 오류 등에 사용한다.
사용자 흐름을 막아야 하는 경우 모달로 표시한다.
단순 알림은 토스트 형태로 처리할 수 있다.
(재사용할 토스트/모달을 만들어야 하기에 Front단에서 제대로 컴포넌트를 뽑아놔야 한다.)",Common,전체,공통,상
AUTH-01 로그인,"로그인하는 기능
(초기 상태는 아이디/이메일과 비밀번호를 입력하기 전 상태)
입력값 검증 후 로그인 요청을 수행한다.
로그인 실패 시 오류 안내를 표시한다.",auth,비회원,로그인,상
AUTH-02 회원가입,"비회원 사용자가 피움터 계정을 생성하는 기능이다.
필수 입력값과 비밀번호 확인값을 검증한다.
계정 중복 여부를 확인한 뒤 회원가입을 진행한다.
가입 성공 후 로그인 화면 또는 메인 지도 화면으로 이동할 수 있다.
가입 실패 시 실패 사유를 안내한다.",auth,비회원,회원가입,중
Map-01 위치 기반 지도 표시,"사용자가 피움터에 접속하면 현재 위치 또는 기본 위치 기준으로 지도를 표시하는 기능이다.
위치 권한 허용 시 현재 위치를 지도 중심으로 사용한다.
위치 권한 거부 시 홍익대학교를 기본 위치로 사용한다.
지도 중심 좌표가 설정되면 주변 장소 조회가 가능해진다.
위치 권한을 거부해도 서비스 진입은 막지 않는다.",Map,전체,메인 지도,상
Map-02 주변 장소 조회,"현재 지도 중심 좌표를 기준으로 주변 흡연/금연 장소를 조회하는 기능이다. 기본 조회 반경은 800m다.
조회 결과는 지도 위 마커로 표시한다.
지도 이동 후 “이 지역에서 검색” 버튼을 누르면 현재 지도 중심 기준으로 다시 조회한다.
장소명/주소 기반 검색은 MVP에서 제외한다.",Map,전체,메인 지도,상
PLACE-01 장소 상세 보기,"사용자가 지도 위 마커를 클릭하면 장소 상세 정보를 바텀시트로 보여주는 기능이다.
장소 이름, 타입, 설명, 거리, 좋아요/싫어요, 댓글 목록을 표시한다.
도보 길찾기 버튼도 함께 제공한다.
바깥 영역 또는 닫기 버튼으로 바텀시트를 닫을 수 있다.
MVP에서는 장소 사진을 표시하지 않는다.",Place,전체,장소 상세 바텀시트,상
REACTION-01 좋아요/싫어요 보기,"장소 상세 화면에서 좋아요 수, 싫어요 수, 사용자의 현재 반응 상태를 보여주는 기능이다. 
회원은 memberId 기준으로 반응 상태를 확인한다.
비회원은 쿠키 또는 익명 식별자 기준으로 반응 상태를 확인한다.
반응 상태는 LIKE, DISLIKE, NONE 중 하나다.
좋아요와 싫어요는 동시에 활성화될 수 없다.",Reaction,전체,장소 상세 바텀시트,중
COMMENT-01 댓글 목록 보기,"장소 상세 화면에서 해당 장소의 댓글 목록을 조회하는 기능이다.
댓글은 무한스크롤 방식으로 추가 조회한다.
처음에는 첫 페이지 댓글을 불러온다.
스크롤 하단에 가까워지면 다음 댓글 목록을 이어서 불러온다.
댓글이 없으면 빈 상태 안내를 표시한다.",Comment,전체,장소 상세 바텀시트,중
REACTION-02 좋아요/싫어요 달기,"사용자가 장소에 좋아요 또는 싫어요 반응을 남기는 기능이다.
한 사용자는 한 장소에 대해 하나의 반응만 가질 수 있다.
좋아요와 싫어요는 동시에 활성화될 수 없다.
비회원은 쿠키 또는 익명 식별자로 / 회원은 memberId로 1시간 내 반복 반응을 제한한다.",Reaction,임시회원,장소 상세 바텀시트,중
COMMENT-02 댓글 작성,"사용자가 장소 상세 화면에서 댓글을 작성하는 기능이다.
회원은 댓글 내용만 입력한다.
비회원은 닉네임, 비밀번호, 댓글 내용을 입력해야 한다.
비회원 비밀번호는 댓글 삭제 확인용으로 사용
댓글 작성 성공 시 댓글 목록과 댓글 수를 갱신",Comment,임시회원,장소 상세 바텀시트,중
COMMENT-03 댓글 삭제,"사용자가 본인이 작성한 댓글을 삭제하는 기능이다.
회원 댓글은 memberId / 비회원 댓글은 비밀번호가 일치시 삭제
삭제 성공 시 댓글 목록과 댓글 수를 갱신한다.",Comment,임시회원,장소 상세 바텀시트,하
PLACE-02 장소 등록,"로그인한 회원이 지도에서 위치를 선택하고 새 장소를 등록하는 기능이다.
1. 장소 등록 화면 진입
2. 지도 중앙에 고정 핀 표시
3. 사용자가 지도를 움직임
4. 중앙 좌표를 등록 위치로 사용
5. [이 위치로 등록] 버튼 클릭


장소 등록은 지도 데이터의 핵심이므로 비회원에게 허용하지 않는다.
회원은 좌표, 장소 이름, 장소 타입, 장소 설명을 입력한다.
등록 성공 시 지도에 새 마커를 표시한다.
(MVP에서는 주소 자동 변환과 이미지 업로드를 제공하지 않는다.)",Place,회원,장소 등록,상
,,,,,
,,,,,
,,,,,
NAV-01 도보 길찾기,"사용자가 선택한 장소까지 네이버 지도 앱으로 도보 길찾기를 실행하는 기능이다.
장소 상세 화면에서 길찾기 버튼을 눌러 실행한다.
네이버 지도 앱 또는 웹 길찾기 화면으로 이동한다.
(내부 기능으로의 길찾기API는 MVP에서 사용하지 않는다.)",Navigate,전체,장소 상세 바텀시트,하
,,,,,
