기능,Method,URL,param,사용자,설명,체크,카테고리
지도 bounds 기준 장소 조회,GET,/api/places/bounds,"Query: minLat, minLng, maxLat, maxLng",전체,현재 지도 화면에 보이는 직사각형 좌표 범위 안의 장소 목록을 조회한다.,BE 명세 완료,Place
현재 위치 기준 주변 장소 조회,GET,/api/places/nearby,"Query: lat, lng, radius ",전체,사용자의 현재 위치를 기준으로 일정 반경 내 장소 목록을 조회한다.,BE 명세 완료,Place
로그인,POST,/api/auth/login,"Body: email, password",비회원,이메일과 비밀번호로 로그인하고 HttpOnly accessToken Cookie를 발급받는다.,Historical 추출 자료 - 현재 기준은 docs/DECISIONS.md,Auth
댓글 목록 조회,GET,/api/places/{placeId}/comments,"Path: placeId, Query: cursorId, size",전체,특정 장소의 댓글 목록을 무한스크롤 방식으로 조회한다.,BE 명세 완료,Comment/Reaction
회원가입,POST,/api/auth/signup,"Body: email, password, nickname",비회원,"이메일, 비밀번호, 닉네임으로 회원 계정을 생성한다.",BE 명세 완료,Auth
장소 상세 요약 조회,GET,/api/places/{placeId}/summary,"Path: placeId, Cookie: accessToken optional, X-Guest-Key optional",전체,"특정 장소의 기본 정보, 반응 수, 내 반응 여부, 내가 등록한 장소 여부를 조회한다.",Historical 추출 자료 - 현재 기준은 docs/DECISIONS.md,Place
장소 등록,POST,/api/places,"Body: placeName, placeType, latitude, longitude, locationDescription",회원,로그인한 사용자가 지도 중앙 핀 좌표를 기준으로 새 장소를 등록한다.,BE 명세 완료,Place
장소 삭제,DELETE,/api/places/{placeId},Path: placeId,회원,장소 등록자가 본인이 등록한 장소를 삭제한다.,BE 명세 완료,Place
댓글 작성,POST,/api/places/{placeId}/comments,"Path: placeId, Body: 회원 content / 비회원 displayNickname, guestPassword, content",전체,회원 또는 비회원이 특정 장소에 댓글을 작성한다.,BE 명세 완료,Comment/Reaction
댓글 삭제,DELETE,/api/places/{placeId}/comments/{commentId},"Path: placeId, commentId, Body: 비회원일 경우 guestPassword",전체,"회원은 본인 댓글을, 비회원은 비밀번호 검증 후 댓글을 삭제한다.",BE 명세 완료,Comment/Reaction
좋아요/싫어요/취소 처리,PUT,/api/places/{placeId}/reaction,"Path: placeId, Body: reactionType, Cookie: accessToken optional, X-Guest-Key optional",전체,"특정 장소에 대해 좋아요, 싫어요, 취소 상태를 1시간 단위 정책에 따라 처리한다.",Historical 추출 자료 - 현재 기준은 docs/DECISIONS.md,Comment/Reaction
댓글 수정,PATCH,/api/places/{placeId}/comments/{commentId},"Path: placeId, commentId, Body: content, 비회원일 경우 guestPassword",전체,"회원은 본인 댓글을, 비회원은 비밀번호 검증 후 댓글 내용을 수정한다.",BE 명세 완료,Comment/Reaction
이메일 중복확인,GET,/api/auth/check-email,Query: email,비회원,입력한 이메일이 회원가입에 사용 가능한지 확인한다.,BE 명세 완료,Auth
닉네임 중복확인,GET,/api/auth/check-nickname,Query: nickname,비회원,입력한 닉네임이 회원가입에 사용 가능한지 확인한다.,BE 명세 완료,Auth
